candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,34717.63254165626,46211.983969139044,42.940851651300484,20.094883569362555,127.2762543289704,97.87074005382675,43.34616522990235,21.638329863414732,2,6508.276272727272,80.75441401962436,49,6,9,441.786,6067
1,35172.65172259052,37140.52929076601,4.876046212425542,6.034503305662193,83.01238799948806,102.70098922502825,4.481839167088252,5.558618848556338,2,31522.21857940266,18.141831645265043,189,12,14,782.888,31081
2,35038.40681525258,46958.40122186866,9.444397115819644,6.9862155440117535,73.49293140340876,54.107005593692335,8.965395936609719,5.571338985178395,2,17293.44522067633,681.818148198667,48,9,6,283.958,16852
3,35151.27706702693,37285.28866914377,15.251291412413643,10.519918649038013,130.9450547408045,90.28318838322731,14.384406156490076,9.904644338784305,2,43638.90189228197,34.80397913352298,77,15,10,405.342,43198
4,35202.9999327778,37199.271594898106,12.287505290680524,12.038978723890494,117.70220105463956,115.32227136886999,11.542858730412927,11.30985086642333,2,42493.51544248216,2516.3287375265936,73,13,14,367.898,42053
5,35364.301127169194,37110.841943238134,15.523116643996257,16.671812995399414,148.3402124316798,159.2185826141996,16.515700261501436,17.61897472439237,2,33151.65244493943,115.04615420302932,124,12,12,842.9440000000001,32711
6,35378.757473704565,37119.099419685044,16.164608474603938,34.0398234120635,131.5528407973637,263.9221225006393,18.7266889500182,38.993577456266074,2,21709.294178112974,44.57896267166461,115,10,13,760.54,21268
7,35184.6784885103,37346.80080777115,8.988405936245256,13.94049611164528,95.28270308201691,129.30742323936056,8.912401745247108,14.845812201282625,2,25978.90408509732,186.80666037765153,76,10,8,557.236,25538
8,35232.338377027925,37192.11811027602,9.566186338140042,8.051904674314525,120.98854572612808,101.83656834239608,8.823276564362155,7.424569893863495,2,34356.64449146606,261.43879148943023,179,18,13,751.338,33916
9,35436.18768032063,37016.10435199405,21.80945919249259,18.89748923798765,175.43650297975475,151.07746147587557,25.810371589336107,22.210019749638406,2,46369.76813626422,53.31787949582484,96,12,10,697.4730000000001,45929
10,35199.21698128012,37234.774583105886,16.449495956427402,15.318530978069667,107.93757881109656,103.67528364383082,16.074195577110004,14.173163161232887,2,48753.955345335446,4680.532297734491,150,13,14,978.344,48313
11,35206.45109897188,37209.32310125907,8.755866369297973,7.621973202768446,86.506414274816,75.58743615487475,8.043604289104998,7.014406012738977,2,1823.9121519993016,924.571270685067,98,17,11,820.2670000000003,1383
12,35222.85227298553,37295.52481618644,13.25876258364435,10.925804864726542,106.62381918661397,87.84634381751718,12.41209929688706,10.233378271735154,2,18727.39114994309,77.2747564491098,63,11,12,569.8629999999963,18286
13,35405.77360794197,37092.18830354877,68.5918454843979,17.820929183908515,348.548497139354,107.29807708846394,89.3563579275771,20.785094423000654,2,32152.40583266819,435.7916173333686,120,13,10,811.832,31711
14,35190.68018303867,37188.27433042771,11.7831158800467,9.45594003537076,81.38302720805962,65.89741452278543,10.885064131984025,8.666690273032591,2,35726.34511619142,1164.2118662678438,96,11,13,383.74499999999256,35285
15,35322.07784014355,37022.82021650838,22.159797775054052,16.858770450457698,132.44302823329997,103.32112174244585,23.759435110692934,17.704923874095407,2,38029.38563219165,5.304516910244707,42,9,8,189.537,37588
16,35344.533977151776,37159.079300303514,49.938683557555066,14.33911890409276,201.09306308582077,69.83756146350738,50.44591402765466,12.888794232029678,2,26932.204422246676,597.5854053305484,158,13,19,566.2029999999963,26491
17,35322.925920037014,37192.90519762341,14.807896266414994,7.535662789287713,133.95133663090445,68.77195721971798,14.252160298515115,7.368912916965844,2,15436.74866666667,123.70287896200709,53,10,9,519.9910000000019,14996
18,35634.48563079511,36902.62105773179,5.469582274905775,8.170774920452782,69.99749298746708,105.10022005074575,4.8752021156029155,7.399832675678065,2,42915.114446661275,30.59339436586648,140,17,17,585.1580000000075,42474
19,35547.847613131955,36971.37435958259,50.15035823330115,7.64497791976299,203.54743535958832,56.62861282290702,46.42857245094536,7.0576170324968235,0,17668.213538461536,86.75516514050432,42,9,7,308.73,17227
21,35435.81397266317,37147.349101706546,60.91699858353461,34.10937376390492,260.33448115951524,138.17362354853037,97.33392058422777,49.59942671714866,2,45941.1422957539,8.43562454596894,36,8,7,276.14900000000745,45500
